N,T,pk,pm,fx
75,50,0.55,0.0005,1.89951
80,50,0.55,0.0005,1.90858
30,50,0.6,0.0005,1.6887999999999996
35,50,0.6,0.0005,1.7724900000000006
40,50,0.6,0.0005,1.8176600000000003
45,50,0.6,0.0005,1.8141300000000005
50,50,0.6,0.0005,1.87793
55,50,0.6,0.0005,1.8791699999999991
60,50,0.6,0.0005,1.8928400000000007
65,50,0.6,0.0005,1.9049299999999993
70,50,0.6,0.0005,1.9209700000000007
75,50,0.6,0.0005,1.93048
80,50,0.6,0.0005,1.9127799999999993
30,50,0.65,0.0005,1.7204200000000005
35,50,0.65,0.0005,1.8224100000000008
40,50,0.65,0.0005,1.803470000000001
45,50,0.65,0.0005,1.8206
50,50,0.65,0.0005,1.8833900000000006
55,50,0.65,0.0005,1.8890299999999995
60,50,0.65,0.0005,1.86532
65,50,0.65,0.0005,1.8728999999999996
70,50,0.65,0.0005,1.9145700000000005
75,50,0.65,0.0005,1.9399400000000007
80,50,0.65,0.0005,1.9348299999999998
30,50,0.7,0.0005,1.7285800000000002
35,50,0.7,0.0005,1.78101
40,50,0.7,0.0005,1.8185899999999995
45,50,0.7,0.0005,1.8475499999999996
50,50,0.7,0.0005,1.8869599999999993
55,50,0.7,0.0005,1.9049400000000003
60,50,0.7,0.0005,1.91667
65,50,0.7,0.0005,1.9142800000000002
70,50,0.7,0.0005,1.9179400000000002
75,50,0.7,0.0005,1.925140000000001
80,50,0.7,0.0005,1.9370699999999998
30,50,0.75,0.0005,1.718510000000001
35,50,0.75,0.0005,1.8375999999999997
40,50,0.75,0.0005,1.8314300000000003
45,50,0.75,0.0005,1.8413499999999998
50,50,0.75,0.0005,1.85175
55,50,0.75,0.0005,1.8745600000000002
60,50,0.75,0.0005,1.9114900000000004
65,50,0.75,0.0005,1.9243900000000007
70,50,0.75,0.0005,1.9284400000000002
75,50,0.75,0.0005,1.9480000000000004
80,50,0.75,0.0005,1.93853
30,50,0.8,0.0005,1.7489200000000005
35,50,0.8,0.0005,1.81005
40,50,0.8,0.0005,1.8498000000000006
45,50,0.8,0.0005,1.8764200000000002
50,50,0.8,0.0005,1.8831000000000007
55,50,0.8,0.0005,1.8949300000000002
60,50,0.8,0.0005,1.9158700000000002
65,50,0.8,0.0005,1.93813
70,50,0.8,0.0005,1.9421199999999998
75,50,0.8,0.0005,1.9572899999999998
80,50,0.8,0.0005,1.9616999999999998
30,50,0.85,0.0005,1.7679799999999994
35,50,0.85,0.0005,1.8277900000000005
40,50,0.85,0.0005,1.8277399999999995
45,50,0.85,0.0005,1.87288
50,50,0.85,0.0005,1.8652300000000006
55,50,0.85,0.0005,1.9082300000000005
60,50,0.85,0.0005,1.9093799999999996
65,50,0.85,0.0005,1.9138799999999998
70,50,0.85,0.0005,1.9306099999999997
75,50,0.85,0.0005,1.9388400000000001
80,50,0.85,0.0005,1.9488200000000004
30,50,0.9,0.0005,1.7832600000000003
35,50,0.9,0.0005,1.8156699999999995
40,50,0.9,0.0005,1.8276100000000002
45,50,0.9,0.0005,1.8941500000000004
50,50,0.9,0.0005,1.89488
55,50,0.9,0.0005,1.90561
60,50,0.9,0.0005,1.9270500000000004
65,50,0.9,0.0005,1.9216499999999999
70,50,0.9,0.0005,1.9191599999999993
75,50,0.9,0.0005,1.9366699999999994
80,50,0.9,0.0005,1.9616399999999998
